\xef\xbb\xbfWeek,NO,English,Korean,POS,Definition,Definition_Korean,Example,Example_Korean
18,10,nobody,아무도,noun,not anyone,아무도 아닌,Nobody was at the park when I arrived.,내가 도착했을 때 공원에는 아무도 없었다.
19,1,city,도시,noun,a big place where many people live and work,많은 사람들이 살고 일하는 큰 곳,I want to move to the big city.,나는 큰 도시로 이사가고 싶다.
19,2,myself,내 자신,pron.,Myself is used when you're referring to you,자신을 가리킬 때 사용되는,I was looking at myself in the mirror.,나는 거울 속의 내 자신을 보고 있었다.
19,3,display,전시하다,verb,to show something or a collection of things in an organized way for people to see,사람들이 볼 수 있도록 조직적인 방법으로 무언가나 사물들의 모음을 보여주다,She displayed her artwork at the school exhibition.,그녀는 학교 전시회에서 자신의 작품을 전시했다.
19,4,pride,자부심,noun,a feeling that you respect yourself,자신을 존중한다는 느낌,He felt pride when he finished the race.,그가 경주를 마쳤을 때 자부심을 느꼈다.
19,5,family,가족,noun,a group that usually has parents and children,보통 부모와 자녀가 있는 그룹,There are six people in my family,우리 가족은 여섯 명이다.
19,6,crew,같이 일하는 동료,noun,a group of people who work together,함께 일하는 사람들의 그룹,That crew set up the tents very quickly.,그 팀이 텐트를 매우 빠르게 설치했다.
19,7,pail(-s),들통 버킷,noun,something you use to carry things,물건을 나르는데 사용하는 것,I left my pail at the beach.,나는 해변에 양동이를 두고 왔다.
19,8,design,디자인하다,verb,to make or draw plans for something,무언가에 대한 계획을 만들거나 그리다,She will design a new logo for the company,그녀는 회사를 위한 새 로고를 설계할 것이다.
19,9,purpose,목적,noun,why you do something or why something exists,무언가를 하는 이유나 무언가가 존재하는 이유,The purpose of the meeting is to discuss the project.,회의의 목적은 프로젝트를 논의하는 것이다.
19,10,represent,대표하다,verb,to speak act or be present officially for another person or people,다른 사람이나 사람들을 위해 공식적으로 말하거나 행동하거나 참석하다,She will represent our school in the competition.,그녀는 경연에서 우리 학교를 대표할 것이다.
20,1,pull up,~에 도다,verb,to come to a stop,멈추다,When we pull up to your house I will call you.,우리가 당신 집에 도착하면 전화할게요.
20,2,nation,국가,noun,a group of people living in one country,한 나라에 사는 사람들의 그룹,Korea is a nation with a rich history.,한국은 풍부한 역사를 가진 국가다.
20,3,unite,통합하다,verb,to join together as a group,그룹으로 함께 결합하다,The team united to win the championship.,팀이 챔피언십에서 우승하기 위해 연합했다.
20,4,repay(repaid),다시지불하다,verb,to give something back,무언가를 돌려주다,He repaid us for helping with ice cream.,그는 도움에 대한 보답으로 아이스크림을 사줬다.
20,5,neighborhood,이웃,noun,the area around your home,집 주변 지역,What is your neighborhood like?,당신의 동네는 어떤가요?
20,6,parade(-s),가두행진퍼레이드,noun,We want a celebration with people in costumes and music that moves through the streets to see the pageant at the park,의상을 입고 음악과 함께 거리를 행진하여 공원의 축제를 보는 축하 행사,This is the best parade I've ever seen!,이것은 내가 본 최고의 퍼레이드다!
20,7,greet,맞다환영하다,verb,to welcome someone in a friendly way,친근한 방식으로 누군가를 환영하다,Our class greeted the new student.,우리 반이 새 학생을 환영했다.
20,8,crate(-s),상자,noun,a kind of box used for packing things,물건을 포장하는데 사용되는 상자의 일종,Can you bring down the crate from the attic?,다락방에서 상자를 내려올 수 있어?
20,9,unpack,가방을 풀다,verb,to take out of a box or suitcase,상자나 여행가방에서 꺼내다,I still have to unpack my bags from my trip.,여행에서 가져온 가방의 짐을 아직 풀어야 한다.
20,10,anything,어떤 것,pron.,any object happening or matter,어떤 물체나 일어나는 일이나 문제,Is there anything to drink?,마실 것이 있나요?
